power	voltage	current	rpm	windSpeed	pitchAngle	temperature	ambientPressure	humidity	accelerationX	accelerationY	accelerationZ	currentSink	timestamp
296.916	1362	218	2153	76	200	230	101300000	1000	0	0	-1	150	288900036
295.698	1326	223	2166	76	200	230	101300000	1000	0	0	-1	150	288912596
284.708	1306	218	2154	76	200	230	101300000	1000	0	0	-1	150	288925156
278.681	1261	221	2160	76	200	230	101300000	1000	0	0	-1	150	288937716
290.394	1314	221	2160	76	200	230	101300000	1000	0	0	-1	150	288950276
279.444	1276	219	2153	76	200	230	101300000	1000	0	0	-1	150	288962836
278.388	1254	222	2169	76	200	230	101300000	1000	0	0	-1	150	288975396
276.48	1280	216	2153	76	200	230	101300000	1000	0	0	-1	150	288987956
295.2	1312	225	2159	76	200	230	101300000	1000	0	0	-1	150	289000516
284.053	1309	217	2154	76	200	230	101300000	1000	0	0	-1	150	289013076
292.584	1336	219	2163	76	200	230	101300000	1000	0	0	-1	150	289025636
290.7	1292	225	2159	76	200	230	101300000	1000	0	0	-1	150	289038196
292.12	1340	218	2162	76	200	230	101300000	1000	0	0	-1	150	289050756
284.48	1270	224	2159	76	200	230	101300000	1000	0	0	-1	150	289063316
285.362	1309	218	2153	76	200	230	101300000	1000	0	0	-1	150	289075876
271.48	1234	220	2157	76	200	230	101300000	1000	0	0	-1	150	289088436
279.72	1295	216	2159	76	200	230	101300000	1000	0	0	-1	150	289100996
278.604	1278	218	2169	76	200	230	101300000	1000	0	0	-1	150	289113556
295.477	1337	221	2150	76	200	230	101300000	1000	0	0	-1	150	289126116
280.758	1282	219	2159	76	200	230	101300000	1000	0	0	-1	150	289138676
303.3	1348	225	2151	76	200	230	101300000	1000	0	0	-1	150	289151236
284.015	1321	215	2166	76	200	230	101300000	1000	0	0	-1	150	289163796
299.925	1333	225	2156	76	200	230	101300000	1000	0	0	-1	150	289176356
283.182	1299	218	2160	76	200	230	101300000	1000	0	0	-1	150	289188916
280.06	1273	220	2159	76	200	230	101300000	1000	0	0	-1	150	289201476
286.637	1297	221	2154	76	200	230	101300000	1000	0	0	-1	150	289214036
272.064	1248	218	2167	76	200	230	101300000	1000	0	0	-1	150	289226596
